FRAME;RADIUS;X;Y;Z;
1;142.118800;232.734000;101.799880;0.0;
2;142.118800;232.734000;101.799880;0.0;
3;141.696255;232.413833;101.610145;0.0;
4;141.861035;232.188375;101.851181;0.0;
5;141.698766;232.377200;101.937836;0.0;
6;141.807131;232.635917;102.081601;0.0;
7;141.815812;232.943786;102.029239;0.0;
8;141.949097;233.066000;102.103342;0.0;
9;141.775815;233.296056;101.968013;0.0;
10;141.768242;233.406800;102.014763;0.0;
11;141.803602;233.501818;102.081347;0.0;
12;141.862136;233.572250;102.158712;0.0;
13;141.852846;233.650308;102.157255;0.0;
14;141.963900;233.624143;102.197183;0.0;
15;142.089881;233.601000;102.265366;0.0;
16;142.164682;233.588844;102.349796;0.0;
17;142.304041;233.520441;102.427906;0.0;
18;142.417554;233.479333;102.540056;0.0;
19;142.494457;233.436447;102.605462;0.0;
20;142.616948;233.349317;102.688010;0.0;
21;142.705057;233.230036;102.744475;0.0;
22;142.786725;233.106555;102.803811;0.0;
23;142.867388;232.979985;102.835612;0.0;
24;142.893318;232.903546;102.867949;0.0;
25;142.919404;232.841444;102.890819;0.0;
26;142.973357;232.809348;102.944900;0.0;
27;143.030544;232.722744;102.976926;0.0;
28;143.073226;232.718575;103.014579;0.0;
29;143.092768;232.686262;103.019589;0.0;
30;143.095006;232.656153;103.030286;0.0;
31;143.116147;232.626923;103.036624;0.0;
32;143.110994;232.620034;103.028362;0.0;
33;143.100960;232.607352;103.025935;0.0;
34;143.075612;232.576371;103.001317;0.0;
35;143.068822;232.548517;102.972398;0.0;
36;143.066572;232.545086;102.973536;0.0;
37;143.050451;232.550043;102.941410;0.0;
38;143.030482;232.570161;102.923690;0.0;
39;142.971874;232.613836;102.881966;0.0;
40;142.935654;232.665502;102.860146;0.0;
41;142.865650;232.712356;102.803047;0.0;
42;142.818497;232.772181;102.778127;0.0;
43;142.796586;232.804119;102.748045;0.0;
44;142.766099;232.875423;102.711526;0.0;
45;142.719133;232.931113;102.671665;0.0;
46;142.664854;233.005502;102.642654;0.0;
47;142.617846;233.084449;102.619430;0.0;
48;142.582428;233.153690;102.612935;0.0;
49;142.537204;233.222716;102.580056;0.0;
50;142.510458;233.289462;102.559039;0.0;
51;142.484761;233.353590;102.538847;0.0;
52;142.460052;233.415252;102.519432;0.0;
53;142.436275;233.474587;102.500749;0.0;
54;142.413379;233.531724;102.482758;0.0;
55;142.390839;233.579875;102.447913;0.0;
56;142.380740;233.568770;102.431262;0.0;
57;142.379629;233.536888;102.403982;0.0;
58;142.390122;233.489433;102.381721;0.0;
59;142.414500;233.445154;102.379174;0.0;
60;142.427656;233.390222;102.367157;0.0;
61;142.450306;233.345695;102.340918;0.0;
62;142.488110;233.288651;102.315677;0.0;
63;142.540695;233.227559;102.302758;0.0;
64;142.602726;233.155320;102.309717;0.0;
65;142.667333;233.085374;102.327751;0.0;
66;142.740784;233.027273;102.356063;0.0;
67;142.824961;232.976916;102.394658;0.0;
68;142.920246;232.927220;102.449245;0.0;
69;143.012768;232.878964;102.502250;0.0;
70;143.102647;232.832086;102.553741;0.0;
71;143.186253;232.788005;102.603813;0.0;
72;143.268110;232.741530;102.657937;0.0;
73;143.347542;232.697533;102.699457;0.0;
74;143.419969;232.646887;102.749599;0.0;
75;143.487629;232.609397;102.789797;0.0;
76;143.559015;232.567688;102.833700;0.0;
77;143.619847;232.523289;102.871256;0.0;
78;143.686401;232.484749;102.915785;0.0;
79;143.745916;232.444275;102.952134;0.0;
80;143.800829;232.398279;102.981103;0.0;
81;143.856009;232.347158;103.012091;0.0;
82;143.899546;232.304389;103.044434;0.0;
83;144.000281;232.262998;103.096971;0.0;
84;144.152485;232.215977;103.166918;0.0;
85;144.315514;232.181589;103.218844;0.0;
86;144.476313;232.147396;103.294614;0.0;
87;144.636005;232.132071;103.361085;0.0;
88;144.801640;232.122405;103.440409;0.0;
89;144.956687;232.121065;103.503099;0.0;
90;145.118348;232.119219;103.569027;0.0;
91;145.276456;232.117414;103.633506;0.0;
92;145.431127;232.115648;103.696583;0.0;
93;145.592769;232.112761;103.758411;0.0;
94;145.592769;232.112761;103.758411;0.0;
95;145.592769;232.112761;103.758411;0.0;
96;145.592769;232.112761;103.758411;0.0;
97;145.592769;232.112761;103.758411;0.0;
98;145.592769;232.112761;103.758411;0.0;
99;145.592769;232.112761;103.758411;0.0;
100;145.592769;232.112761;103.758411;0.0;
101;145.592769;232.112761;103.758411;0.0;
102;145.630530;232.106009;103.779700;0.0;
103;145.669120;232.099108;103.801456;0.0;
104;145.722653;232.102726;103.830020;0.0;
105;145.760488;232.109363;103.844130;0.0;
106;145.814019;232.097736;103.861853;0.0;
107;145.853848;232.076682;103.874053;0.0;
108;145.900196;232.045120;103.899158;0.0;
109;145.935703;232.023045;103.914183;0.0;
110;146.001728;231.985980;103.950240;0.0;
111;146.053556;231.956853;103.968489;0.0;
112;146.101072;231.926424;103.983383;0.0;
113;146.145455;231.896541;103.995404;0.0;
114;146.200507;231.862910;104.018599;0.0;
