FRAME;X;Y;Z;
1;0.289476;-0.180037;0.940101;
2;0.289673;-0.173291;0.941307;
3;0.290482;-0.177640;0.940247;
4;0.294497;-0.170110;0.940390;
5;0.290086;-0.169461;0.941877;
6;0.286940;-0.163962;0.943813;
7;0.288065;-0.162311;0.943755;
8;0.291992;-0.156218;0.943577;
9;0.294281;-0.155922;0.942914;
10;0.295773;-0.151657;0.943143;
11;0.297272;-0.153993;0.942293;
12;0.299345;-0.145661;0.942961;
13;0.300408;-0.149875;0.941962;
14;0.302343;-0.143102;0.942396;
15;0.303209;-0.149048;0.941195;
16;0.303515;-0.140914;0.942349;
17;0.302462;-0.144595;0.942130;
18;0.302917;-0.137321;0.943072;
19;0.300865;-0.141155;0.943163;
20;0.303531;-0.133139;0.943474;
21;0.304222;-0.135226;0.942954;
22;0.307700;-0.130191;0.942534;
23;0.308188;-0.134927;0.941709;
24;0.306959;-0.128672;0.942984;
25;0.250565;-0.141089;0.957764;
26;0.180584;-0.137766;0.973863;
27;0.139098;-0.116242;0.983433;
28;-1;-1;-1;
29;-1;-1;-1;
30;-1;-1;-1;
31;0.202906;-0.111318;0.972850;
32;0.209404;-0.155158;0.965441;
33;0.229842;-0.143368;0.962610;
34;0.233860;-0.139636;0.962191;
35;0.238832;-0.143362;0.960420;
36;0.241307;-0.137467;0.960663;
37;0.243620;-0.141073;0.959556;
38;0.246072;-0.135259;0.959767;
39;0.249435;-0.138060;0.958500;
40;0.249472;-0.134522;0.958993;
41;0.252458;-0.137962;0.957722;
42;0.252655;-0.136451;0.957886;
43;0.254109;-0.140991;0.956844;
44;0.253243;-0.137307;0.957609;
45;0.254338;-0.144671;0.956234;
46;0.256899;-0.139840;0.956268;
47;0.259782;-0.140869;0.955337;
48;0.256668;-0.136878;0.956758;
49;0.248814;-0.142682;0.957984;
50;0.262918;-0.135077;0.955316;
51;0.262515;-0.134959;0.955443;
52;0.262128;-0.134846;0.955565;
53;0.265378;-0.138939;0.954081;
54;0.269822;-0.127924;0.954375;
55;0.273965;-0.128460;0.953122;
56;0.293855;-0.111677;0.949304;
57;0.293814;-0.112824;0.949181;
58;0.298704;-0.110185;0.947964;
59;0.297068;-0.113884;0.948040;
60;0.301190;-0.111513;0.947021;
61;0.297917;-0.112649;0.947922;
62;0.298434;-0.107016;0.948412;
63;0.295175;-0.115459;0.948441;
64;0.295960;-0.106403;0.949256;
65;0.294732;-0.106303;0.949649;
66;0.296220;-0.102190;0.949637;
67;0.294690;-0.103360;0.949987;
68;0.292574;-0.100269;0.950971;
69;0.293869;-0.102479;0.950336;
70;0.292405;-0.097446;0.951317;
71;0.289930;-0.102080;0.951588;
72;0.291136;-0.098497;0.951598;
73;0.288128;-0.100355;0.952319;
74;0.287401;-0.099271;0.952652;
75;0.289479;-0.102247;0.951708;
76;0.288539;-0.098527;0.952385;
77;0.289283;-0.102649;0.951724;
78;0.290419;-0.097877;0.951881;
79;0.290455;-0.100032;0.951646;
80;0.291248;-0.098725;0.951540;
81;0.289962;-0.103707;0.951402;
82;0.292257;-0.099981;0.951099;
83;0.292715;-0.106909;0.950204;
84;0.292302;-0.102705;0.950795;
85;0.294164;-0.110493;0.949347;
86;0.295873;-0.110391;0.948827;
87;0.296592;-0.117580;0.947738;
88;0.298502;-0.112884;0.947710;
89;0.298910;-0.120833;0.946601;
90;0.300643;-0.116486;0.946597;
91;0.301595;-0.121338;0.945684;
92;0.303816;-0.117777;0.945423;
93;0.301507;-0.121534;0.945687;
94;0.300834;-0.116437;0.946542;
95;0.301438;-0.119851;0.945923;
96;0.300834;-0.116352;0.946552;
97;0.301658;-0.121634;0.945626;
98;0.299955;-0.116537;0.946808;
99;0.300587;-0.120719;0.946084;
100;0.309131;-0.114414;0.944112;
101;0.309131;-0.114414;0.944112;
102;0.309097;-0.114530;0.944109;
103;0.309063;-0.114649;0.944106;
104;0.308924;-0.114803;0.944132;
105;0.310061;-0.117601;0.943415;
106;0.312112;-0.111079;0.943529;
107;0.312500;-0.117539;0.942618;
108;0.315290;-0.110648;0.942523;
109;0.316954;-0.114820;0.941465;
110;0.318380;-0.110530;0.941497;
111;0.319329;-0.114255;0.940731;
112;0.319926;-0.109508;0.941093;
113;0.320458;-0.111589;0.940667;
114;0.321812;-0.107087;0.940728;
115;0.322568;-0.110316;0.940096;
116;0.323830;-0.104718;0.940302;
117;0.324431;-0.108749;0.939637;
118;0.325433;-0.103484;0.939885;
119;0.325464;-0.103430;0.939881;
120;0.325471;-0.103431;0.939878;
121;0.325433;-0.106885;0.939505;
122;0.324179;-0.103719;0.940293;
123;0.323941;-0.106847;0.940024;
124;0.323481;-0.104339;0.940464;
125;0.323400;-0.107751;0.940108;
126;0.323349;-0.104237;0.940521;
127;0.322460;-0.107474;0.940462;
128;0.321853;-0.105134;0.940935;
129;0.321426;-0.108367;0.940713;
130;0.319352;-0.109451;0.941294;
131;0.335885;-0.116405;0.934682;
132;0.389116;-0.120884;0.913223;
133;0.461496;-0.130270;0.877525;
134;0.524466;-0.124674;0.842254;
135;0.558709;-0.120877;0.820508;
136;0.554598;-0.118607;0.823622;
137;0.552492;-0.121093;0.824675;
138;0.549866;-0.119171;0.826708;
139;0.547921;-0.123541;0.827358;
140;0.536982;-0.125097;0.834267;
141;0.536947;-0.125306;0.834258;
142;0.536797;-0.125693;0.834296;
143;0.548375;-0.128020;0.826375;
144;0.556170;-0.122927;0.821927;
145;0.552741;-0.128291;0.823419;
146;0.547941;-0.124664;0.827176;
147;0.544604;-0.129564;0.828625;
148;0.539519;-0.121922;0.833099;
149;0.535172;-0.124458;0.835525;
150;0.531810;-0.121330;0.838127;
151;0.527826;-0.123061;0.840390;
152;0.522579;-0.119800;0.844132;
153;0.516449;-0.122600;0.847496;
154;0.510844;-0.118265;0.851500;
155;0.504230;-0.119822;0.855216;
156;0.497385;-0.115040;0.859869;
157;0.490029;-0.118830;0.863569;
158;0.490510;-0.116161;0.863659;
159;0.483927;-0.128401;0.865637;
160;0.483464;-0.128966;0.865812;
161;0.482769;-0.129662;0.866096;
162;0.482201;-0.130598;0.866271;
163;0.470830;-0.126216;0.873149;
164;-1;-1;-1;
165;-1;-1;-1;
166;-1;-1;-1;
167;0.412159;-0.119736;0.903210;
168;0.419054;-0.123797;0.899482;
169;0.420828;-0.127188;0.898180;
170;0.417149;-0.126508;0.899990;
171;0.413422;-0.125218;0.901888;
172;0.412029;-0.115448;0.903827;
173;0.409584;-0.113997;0.905122;
174;0.409133;-0.107539;0.906116;
175;0.405449;-0.111890;0.907244;
176;0.401159;-0.108473;0.909563;
177;0.397822;-0.111670;0.910641;
178;0.357701;-0.108295;0.927536;
179;0.356473;-0.108726;0.927958;
180;0.354903;-0.109448;0.928475;
181;-1;-1;-1;
182;-1;-1;-1;
183;-1;-1;-1;
184;-1;-1;-1;
185;0.205568;-0.104016;0.973099;
186;0.213444;-0.109552;0.970793;
187;0.213062;-0.109260;0.970910;
188;0.210699;-0.101880;0.972228;
189;0.207257;-0.102223;0.972931;
190;0.207618;-0.097955;0.973293;
191;0.208471;-0.101309;0.972767;
192;0.205413;-0.101526;0.973395;
193;0.194553;-0.113477;0.974306;
194;-1;-1;-1;
195;-1;-1;-1;
196;-1;-1;-1;
197;-1.000000;-1.000000;-1.000000;
198;-1.000000;-1.000000;-1.000000;
199;-1.000000;-1.000000;-1.000000;
200;-1.000000;-1.000000;-1.000000;
201;-1.000000;-1.000000;-1.000000;
202;-1.000000;-1.000000;-1.000000;
203;-1.000000;-1.000000;-1.000000;
204;-1.000000;-1.000000;-1.000000;
205;-1.000000;-1.000000;-1.000000;
206;-1.000000;-1.000000;-1.000000;
207;-1.000000;-1.000000;-1.000000;
208;-1.000000;-1.000000;-1.000000;
209;-1.000000;-1.000000;-1.000000;
210;-1.000000;-1.000000;-1.000000;
211;-1.000000;-1.000000;-1.000000;
212;-1.000000;-1.000000;-1.000000;
213;-1.000000;-1.000000;-1.000000;
214;-1.000000;-1.000000;-1.000000;
215;-1.000000;-1.000000;-1.000000;
216;-1.000000;-1.000000;-1.000000;
217;-1.000000;-1.000000;-1.000000;
218;-1.000000;-1.000000;-1.000000;
219;-1;-1;-1;
220;-1;-1;-1;
221;-1;-1;-1;
222;-1;-1;-1;
223;-1;-1;-1;
224;-1;-1;-1;
225;-1.000000;-1.000000;-1.000000;
226;-1.000000;-1.000000;-1.000000;
227;-1.000000;-1.000000;-1.000000;
228;-1.000000;-1.000000;-1.000000;
229;-1.000000;-1.000000;-1.000000;
230;-1.000000;-1.000000;-1.000000;
231;-1.000000;-1.000000;-1.000000;
232;-1.000000;-1.000000;-1.000000;
233;-1.000000;-1.000000;-1.000000;
234;-1.000000;-1.000000;-1.000000;
235;-1;-1;-1;
236;-1;-1;-1;
237;-1;-1;-1;
238;-1;-1;-1;
239;-1;-1;-1;
240;-1.000000;-1.000000;-1.000000;
241;-1.000000;-1.000000;-1.000000;
242;-1.000000;-1.000000;-1.000000;
243;-1.000000;-1.000000;-1.000000;
244;-1.000000;-1.000000;-1.000000;
245;-1.000000;-1.000000;-1.000000;
246;-1.000000;-1.000000;-1.000000;
247;-1.000000;-1.000000;-1.000000;
248;-1.000000;-1.000000;-1.000000;
249;-1.000000;-1.000000;-1.000000;
250;-1.000000;-1.000000;-1.000000;
251;-1.000000;-1.000000;-1.000000;
252;-1.000000;-1.000000;-1.000000;
253;-1.000000;-1.000000;-1.000000;
254;-1;-1;-1;
255;-1;-1;-1;
256;-1;-1;-1;
257;-1;-1;-1;
258;0.204048;-0.054012;0.977470;
259;0.220039;-0.109684;0.969305;
260;0.219292;-0.110284;0.969406;
261;0.218584;-0.109672;0.969636;
262;0.218203;-0.110283;0.969652;
263;0.217015;-0.113957;0.969494;
264;0.213498;-0.111916;0.970512;
265;0.212805;-0.115720;0.970218;
266;0.211387;-0.110485;0.971138;
267;0.208199;-0.115445;0.971250;
268;0.206054;-0.112137;0.972094;
269;0.205031;-0.115960;0.971862;
270;0.202318;-0.115866;0.972441;
271;0.202489;-0.119381;0.971981;
272;0.201427;-0.116814;0.972513;
273;0.199606;-0.122579;0.972179;
274;0.195333;-0.121064;0.973236;
275;0.192188;-0.127485;0.973042;
276;0.187627;-0.125808;0.974150;
277;0.185006;-0.132937;0.973705;
278;0.174810;-0.140274;0.974559;
279;0.174810;-0.140274;0.974559;
280;0.174810;-0.140274;0.974559;
281;0.165452;-0.156981;0.973644;
282;0.156291;-0.165027;0.973827;
283;-1;-1;-1;
284;-1;-1;-1;
285;-1;-1;-1;
286;-1;-1;-1;
287;0.120762;-0.186888;0.974930;
288;0.138035;-0.181198;0.973711;
289;0.138061;-0.183388;0.973297;
290;0.139044;-0.179176;0.973942;
291;0.138612;-0.182524;0.973382;
292;0.140735;-0.179429;0.973652;
293;0.142176;-0.184629;0.972470;
294;0.143893;-0.182151;0.972685;
295;0.146265;-0.187200;0.971371;
296;0.148362;-0.184217;0.971624;
297;0.148061;-0.188578;0.970833;
298;0.147838;-0.184882;0.971577;
299;0.147786;-0.188761;0.970839;
300;0.148978;-0.183696;0.971628;
301;0.150813;-0.186751;0.970762;
302;0.153120;-0.183329;0.971054;
303;0.154391;-0.187639;0.970028;
304;0.158978;-0.183388;0.970100;
305;0.161861;-0.186782;0.968975;
306;0.165583;-0.182806;0.969105;
307;0.167955;-0.186835;0.967928;
308;0.172110;-0.183120;0.967908;
309;0.175950;-0.186590;0.966554;
310;0.180891;-0.183137;0.966302;
311;0.184167;-0.187772;0.964792;
