FRAME;ANGLE;CENTER X;CENTER Y;WIDTH;HEIGHT;
1;121.526;271.034;78.4291;108.773;129.99;
2;118.185;271.402;79.6144;106.26;129.666;
3;121.434;271.192;78.7817;107.564;127.171;
4;117.62;271.454;80.5122;104.26;125.142;
5;113.002;271.587;80.9473;102.701;123.336;
6;117.801;270.626;81.0167;105.044;122.638;
7;117.782;270.849;81.0879;104.792;123.644;
8;116.834;271.458;81.4069;104.807;124.505;
9;115.984;272.02;81.7547;103.233;124.649;
10;115.232;272.133;81.9492;103.042;124.844;
11;115.832;272.346;81.75;104.903;124.794;
12;117.966;272.587;82.5285;104.279;124.917;
13;113.904;272.983;82.2451;103.594;123.597;
14;114.044;273.356;82.9395;102.574;124.37;
15;115.618;273.544;82.4393;103.222;124.125;
16;113.784;274.02;84.0935;102.622;125.181;
17;115.275;273.921;83.6052;103.473;125.558;
18;113.053;274.129;84.9555;102.02;125.556;
19;114.135;273.529;84.1918;103.185;126.551;
20;114.826;273.806;84.885;102.909;126.503;
21;113.647;274.178;84.9056;102.911;126.324;
22;113.526;274.656;85.2271;102.63;125.264;
23;114.134;274.68;84.7855;102.738;125.613;
24;115.526;274.189;85.6498;103.584;125.908;
25;115.813;265.282;82.8257;106.022;125.288;
26;108.568;255.915;82.3274;102.875;130.073;
27;103.92;244.828;88.5076;100.419;119.669;
28;-1;-1;-1;-1;-1;
29;-1;-1;-1;-1;-1;
30;-1;-1;-1;-1;-1;
31;109.731;254.488;88.0974;98.2943;129.353;
32;112.686;259.467;84.9572;108.103;132.712;
33;117.099;261.947;83.9338;114.789;130.361;
34;119.081;263.293;84.2705;113.416;132.274;
35;119.535;264.22;82.9398;113.673;134.091;
36;120.978;264.567;83.158;114.092;135.403;
37;120.877;265.051;82.6591;113.074;135.649;
38;121.145;265.102;82.976;113.72;135.569;
39;120.008;265.643;82.3552;112.574;134.703;
40;120.581;265.916;82.5274;113.923;133.691;
41;118.585;266.398;82.4924;112.105;133.485;
42;120.444;266.56;82.7591;112.629;132.793;
43;120.841;266.609;82.5453;111.788;132.234;
44;119.649;266.876;83.2218;110.472;130.426;
45;116.55;266.565;82.4064;107.88;127.756;
46;113.564;266.582;82.8542;104.885;126.23;
47;111.83;267.402;83.4918;103.821;124.665;
48;111.883;267.749;83.7696;102.514;126.004;
49;111.872;267.346;83.7125;101.697;127.535;
50;111.318;269.11;84.8081;101.572;126.968;
51;111.318;269.11;84.8081;101.572;126.968;
52;111.318;269.11;84.8081;101.572;126.968;
53;112.236;269.227;84.128;101.141;126.396;
54;112.175;269.925;84.9756;101.927;126.738;
55;110.316;270.574;84.9653;101.355;126.938;
56;112.354;273.616;87.2503;101.959;124.486;
57;112.429;273.425;86.514;101.319;124.163;
58;111.887;273.721;87.3159;101.111;125.577;
59;112.07;273.778;86.3457;101.043;124.592;
60;111.888;273.689;87.1602;100.897;125.543;
61;112.556;273.822;86.9213;100.633;124.912;
62;111.677;273.456;87.5973;101.099;124.401;
63;110.637;273.19;86.4346;100.441;125.454;
64;112.876;273.245;87.318;101.399;125.176;
65;113.376;273.31;87.5303;102.241;125.087;
66;112.824;272.985;88.3633;100.909;125.169;
67;112.563;273.052;88.0793;101.2;124.745;
68;112.482;273.056;88.4855;101.328;125.17;
69;111.749;272.992;88.2826;100.956;125.393;
70;112.657;272.951;88.9907;101.183;125.066;
71;113.474;272.397;88.173;101.028;125.776;
72;113.305;272.429;89.1082;99.9025;125.422;
73;113.926;272.038;88.0083;100.897;126.275;
74;112.755;272.008;88.9072;99.424;125.8;
75;112.703;271.908;88.1895;100.743;126.663;
76;112.938;271.857;89.1055;99.7768;126.804;
77;111.975;271.765;88.1599;100.411;127.175;
78;113.431;271.859;88.9789;99.9981;125.811;
79;112.622;271.87;88.351;100.253;125.954;
80;111.896;271.867;88.8828;100.436;126.566;
81;112.023;271.622;88.0827;100.483;126.594;
82;111.573;271.828;88.8206;101.634;126.508;
83;111.839;271.792;87.7905;102.643;126.277;
84;112.928;272.22;88.3754;102.019;126.324;
85;112.795;272.141;87.2916;102.19;126.176;
86;112.709;272.364;87.7901;101.863;126.05;
87;112.82;272.567;86.6925;102.166;126.438;
88;114.222;272.872;87.5151;102.155;126.007;
89;114.061;273.032;86.8035;103.351;126.311;
90;112.041;273.118;87.273;101.817;126.484;
91;113.738;273.408;86.4949;102.488;125.452;
92;113.438;273.342;86.8948;102.51;125.894;
93;113.075;273.451;86.5045;103.86;125.798;
94;114.446;273.449;86.893;104.102;126.074;
95;115.836;273.41;86.0578;104.841;126.552;
96;115.533;273.172;86.6902;104.363;126.546;
97;115.476;273.061;86.1516;106.542;127.265;
98;115.709;273.053;86.4251;105.787;126.931;
99;114.436;273.007;85.7652;105.72;126.867;
100;118.019;274.45;86.4109;107.593;127.601;
101;118.019;274.45;86.4109;107.593;127.601;
102;118.019;274.45;86.4109;107.593;127.601;
103;118.019;274.45;86.4109;107.593;127.601;
104;118.019;274.45;86.4109;107.593;127.601;
105;121.155;274.611;85.8584;109.211;128.337;
106;124.975;274.703;85.6132;109.354;129.229;
107;126.976;274.962;85.0439;109.937;129.37;
108;126.749;274.881;85.6448;109.821;130.877;
109;126.305;275.204;85.1791;110.709;130.93;
110;129.111;275.253;85.7069;110.796;132.492;
111;129.505;275.337;85.2624;111.442;133.415;
112;129.951;275.628;86.0084;111.86;133.678;
113;129.968;275.623;85.4938;111.89;134.365;
114;129.905;276.022;86.1083;112.001;134.095;
115;131.041;276.149;85.8002;111.879;134.514;
116;130.907;276.412;86.4371;111.608;134.849;
117;131.701;276.416;85.8336;112.364;134.551;
