FRAME;AVG INACCURACY;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;
1;1.739779;309.712000;39.804000;270.946000;21.458600;225.672000;33.213600;209.298000;78.471200;232.402000;116.961200;270.978000;135.418400;316.242000;123.823000;332.846000;79.467200;
2;1.680858;309.382000;41.715600;271.334000;24.166800;226.612000;34.895600;209.560000;79.662600;233.528000;117.467800;271.340000;135.079600;316.106000;124.455600;333.324000;80.610800;
3;1.774569;309.334000;40.759200;271.164000;22.421000;226.904000;34.625200;210.402000;78.813000;233.134000;116.768600;271.148000;135.152200;315.360000;123.099400;332.044000;79.761200;
4;1.903120;308.698000;43.434200;271.374000;26.237800;228.168000;37.449200;211.298000;80.531000;234.308000;117.561200;271.436000;134.791200;314.558000;123.786200;331.674000;81.526800;
5;1.778659;308.480000;44.120000;271.484000;27.951000;229.382000;39.042200;211.492000;80.952600;234.718000;117.662400;271.500000;133.956800;313.530000;123.104000;331.718000;81.927400;
6;1.828031;308.022000;43.790800;270.572000;26.508000;227.998000;38.786200;211.196000;81.080800;233.364000;118.259400;270.570000;135.541400;312.930000;123.547800;330.118000;81.957000;
7;1.721890;308.198000;43.857200;270.814000;26.674000;227.888000;38.520200;211.148000;81.115600;233.610000;118.302200;270.836000;135.531200;313.506000;123.935800;330.618000;82.100600;
8;1.796701;308.894000;44.081800;271.478000;27.061400;228.370000;38.582800;211.326000;81.397600;234.114000;118.719600;271.514000;135.780400;314.382000;124.408000;331.652000;82.376600;
9;1.798633;308.980000;44.932200;272.048000;28.161800;229.044000;39.107200;211.898000;81.714000;235.170000;118.574000;272.046000;135.369200;314.752000;124.647000;332.200000;82.702600;
10;1.878079;309.082000;45.115600;272.146000;28.533000;229.186000;39.318800;211.852000;81.913200;235.314000;118.792400;272.178000;135.394000;314.852000;124.800000;332.484000;82.949800;
11;1.891984;309.918000;44.377000;272.378000;27.446400;229.258000;38.938400;211.936000;81.778400;234.944000;119.182400;272.364000;136.073600;315.220000;124.776800;332.824000;82.695800;
12;1.927706;309.818000;45.407800;272.634000;28.292000;229.292000;39.454400;212.630000;82.508400;235.484000;119.685600;272.644000;136.790000;315.734000;125.763600;332.626000;83.481000;
13;1.900564;310.168000;45.242200;273.056000;28.755400;230.508000;40.121400;212.836000;82.227600;235.952000;119.292800;273.062000;135.767200;315.198000;124.612400;333.192000;83.228200;
14;1.795785;310.214000;46.171800;273.416000;29.911200;230.730000;40.578800;213.120000;82.905600;236.666000;119.752200;273.430000;136.000200;315.790000;125.496600;333.650000;83.880600;
15;1.711409;310.494000;45.570600;273.580000;28.938000;230.792000;39.951600;213.556000;82.401800;236.694000;119.289200;273.592000;135.961000;316.116000;125.138600;333.582000;83.445800;
16;1.591508;310.972000;47.247800;274.068000;31.057800;231.230000;41.477400;213.450000;84.040200;237.146000;120.911400;274.068000;137.135400;316.708000;126.876400;334.638000;85.102200;
17;1.554143;311.062000;46.559600;273.978000;30.005000;230.778000;40.653200;213.368000;83.552800;236.850000;120.616000;273.968000;137.210600;316.928000;126.758200;334.518000;84.615600;
18;1.601869;310.936000;48.263400;274.174000;32.229400;231.336000;42.439200;213.324000;84.873200;237.434000;121.631400;274.216000;137.690800;316.724000;127.722800;334.964000;85.981600;
19;1.612226;310.686000;47.125200;273.590000;30.813200;230.230000;41.120600;212.438000;84.086800;236.464000;121.226800;273.624000;137.584800;316.662000;127.491600;334.650000;85.218400;
20;1.606451;310.840000;47.998000;273.844000;31.529400;230.464000;41.781200;212.888000;84.813400;236.926000;121.781400;273.886000;138.253200;316.986000;128.218200;334.758000;85.898800;
21;1.477034;311.274000;47.914800;274.234000;31.707000;231.026000;41.989400;213.106000;84.801600;237.196000;121.879000;274.260000;138.121200;317.154000;128.050200;335.282000;85.943400;
22;1.506665;311.632000;48.297800;274.708000;32.257000;231.810000;42.622200;214.026000;85.131000;237.760000;122.104400;274.712000;138.221800;317.340000;128.038200;335.318000;86.261400;
23;1.498825;311.682000;47.879000;274.760000;31.681400;231.672000;41.989600;214.014000;84.663600;237.786000;121.676600;274.774000;137.912200;317.550000;127.777200;335.384000;85.852600;
24;1.397759;311.382000;48.570000;274.270000;31.971200;230.880000;42.567800;213.540000;85.551600;237.104000;122.709600;274.266000;139.351600;317.348000;128.940800;334.880000;86.719000;
25;1.925230;303.174000;44.895400;265.296000;28.086000;221.874000;39.784200;204.606000;82.774400;227.326000;120.639800;265.282000;137.566400;308.450000;126.114600;326.028000;83.914800;
26;3.149803;293.772000;44.984800;255.938000;29.556600;212.448000;39.157400;192.561200;82.546200;218.272000;119.886200;255.734000;135.048000;299.244000;125.575600;319.534000;83.495800;
27;11.319712;281.546000;51.542600;244.464000;37.632800;204.918000;48.460400;185.564400;88.725400;207.564000;125.079600;244.446000;139.288600;284.734000;128.598600;304.248000;90.528800;
28;-1;131.766000;40.433400;112.285000;31.852400;92.889700;40.299800;84.172300;59.868000;93.113400;79.034700;112.288000;87.704900;131.979000;79.589800;140.946000;60.829900;
29;-1;120.656000;39.972900;101.115000;32.621000;83.622200;41.679000;74.658400;59.575700;81.826300;78.722300;100.990000;86.276500;119.125000;77.314300;128.213000;60.456800;
