FRAME;AVG INACCURACY;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;
1;1.739779;309.712000;39.804000;102.120770;270.946000;21.458600;110.828133;225.672000;33.213600;124.273101;209.298000;78.471200;138.218233;232.402000;116.961200;141.307386;270.978000;135.418400;132.683627;316.242000;123.823000;112.867840;332.846000;79.467200;98.369671;
2;1.680858;309.382000;41.715600;103.502254;271.334000;24.166800;112.609494;226.612000;34.895600;125.236144;209.560000;79.662600;138.458152;233.528000;117.467800;141.250271;271.340000;135.079600;132.664201;316.106000;124.455600;112.843171;333.324000;80.610800;98.134744;
3;1.774569;309.334000;40.759200;102.265728;271.164000;22.421000;110.929404;226.904000;34.625200;124.741684;210.402000;78.813000;138.107198;233.134000;116.768600;140.881267;271.148000;135.152200;132.107621;315.360000;123.099400;112.853773;332.044000;79.761200;98.357929;
4;1.903120;308.698000;43.434200;104.203104;271.374000;26.237800;113.453324;228.168000;37.449200;126.335960;211.298000;80.531000;138.685238;234.308000;117.561200;140.972536;271.436000;134.791200;132.284286;314.558000;123.786200;113.396001;331.674000;81.526800;99.066055;
5;1.778659;308.480000;44.120000;104.613584;271.484000;27.951000;114.346607;229.382000;39.042200;126.939781;211.492000;80.952600;138.571168;234.718000;117.662400;140.804116;271.500000;133.956800;132.373459;313.530000;123.104000;114.213646;331.718000;81.927400;99.043062;
6;1.828031;308.022000;43.790800;105.016110;270.572000;26.508000;113.836492;227.998000;38.786200;126.812635;211.196000;81.080800;138.594945;233.364000;118.259400;140.879420;270.570000;135.541400;132.479091;312.930000;123.547800;114.897019;330.118000;81.957000;101.002506;
7;1.721890;308.198000;43.857200;105.188124;270.814000;26.674000;114.013855;227.888000;38.520200;126.699508;211.148000;81.115600;138.561495;233.610000;118.302200;140.877505;270.836000;135.531200;132.489710;313.506000;123.935800;114.636629;330.618000;82.100600;100.867842;
8;1.796701;308.894000;44.081800;105.038856;271.478000;27.061400;114.204953;228.370000;38.582800;126.856748;211.326000;81.397600;138.737849;234.114000;118.719600;140.969315;271.514000;135.780400;132.427917;314.382000;124.408000;114.191754;331.652000;82.376600;100.205801;
9;1.798633;308.980000;44.932200;105.447800;272.048000;28.161800;114.679168;229.044000;39.107200;127.007166;211.898000;81.714000;138.680496;235.170000;118.574000;140.787469;272.046000;135.369200;132.223993;314.752000;124.647000;113.802348;332.200000;82.702600;99.735829;
10;1.878079;309.082000;45.115600;105.517694;272.146000;28.533000;114.882285;229.186000;39.318800;127.081216;211.852000;81.913200;138.670661;235.314000;118.792400;140.759042;272.178000;135.394000;132.215185;314.852000;124.800000;113.779378;332.484000;82.949800;99.591516;
11;1.891984;309.918000;44.377000;104.589851;272.378000;27.446400;114.133819;229.258000;38.938400;126.898462;211.936000;81.778400;138.675763;234.944000;119.182400;140.761272;272.364000;136.073600;132.070129;315.220000;124.776800;113.645575;332.824000;82.695800;99.335624;
12;1.927706;309.818000;45.407800;105.312798;272.634000;28.292000;114.641852;229.292000;39.454400;127.179851;212.630000;82.508400;138.924991;235.484000;119.685600;140.762279;272.644000;136.790000;131.905034;315.734000;125.763600;113.212728;332.626000;83.481000;99.821658;
13;1.900564;310.168000;45.242200;105.014044;273.056000;28.755400;114.811102;230.508000;40.121400;127.530030;212.836000;82.227600;138.894937;235.952000;119.292800;140.795260;273.062000;135.767200;132.058018;315.198000;124.612400;113.876996;333.192000;83.228200;99.274228;
14;1.795785;310.214000;46.171800;105.588348;273.416000;29.911200;115.520967;230.730000;40.578800;127.861440;213.120000;82.905600;139.144400;236.666000;119.752200;140.841462;273.430000;136.000200;132.009843;315.790000;125.496600;113.400432;333.650000;83.880600;99.060990;
15;1.711409;310.494000;45.570600;105.179391;273.580000;28.938000;114.953517;230.792000;39.951600;127.666120;213.556000;82.401800;139.259366;236.694000;119.289200;141.032467;273.592000;135.961000;132.116836;316.116000;125.138600;113.391464;333.582000;83.445800;99.192529;
16;1.591508;310.972000;47.247800;105.765845;274.068000;31.057800;116.145108;231.230000;41.477400;128.451485;213.450000;84.040200;139.534879;237.146000;120.911400;140.902840;274.068000;137.135400;131.765688;316.708000;126.876400;112.696266;334.638000;85.102200;98.500687;
17;1.554143;311.062000;46.559600;105.434715;273.978000;30.005000;115.622441;230.778000;40.653200;128.167097;213.368000;83.552800;139.599605;236.850000;120.616000;141.097652;273.968000;137.210600;131.926492;316.928000;126.758200;112.701624;334.518000;84.615600;98.654219;
18;1.601869;310.936000;48.263400;106.476613;274.174000;32.229400;116.974850;231.336000;42.439200;129.097068;213.324000;84.873200;139.872815;237.434000;121.631400;141.076720;274.216000;137.690800;131.862462;316.724000;127.722800;112.778166;334.964000;85.981600;98.536489;
19;1.612226;310.686000;47.125200;106.108988;273.590000;30.813200;116.353915;230.230000;41.120600;128.506812;212.438000;84.086800;139.716837;236.464000;121.226800;141.240044;273.624000;137.584800;132.159286;316.662000;127.491600;112.955114;334.650000;85.218400;98.783486;
20;1.606451;310.840000;47.998000;106.507233;273.844000;31.529400;116.774255;230.464000;41.781200;128.924897;212.888000;84.813400;140.005095;236.926000;121.781400;141.287804;273.886000;138.253200;132.028362;316.986000;128.218200;112.661921;334.758000;85.898800;98.863518;
21;1.477034;311.274000;47.914800;106.148856;274.234000;31.707000;116.777932;231.026000;41.989400;129.107306;213.106000;84.801600;140.134970;237.196000;121.879000;141.360795;274.260000;138.121200;132.021826;317.154000;128.050200;112.610487;335.282000;85.943400;98.325245;
22;1.506665;311.632000;48.297800;106.070251;274.708000;32.257000;116.963739;231.810000;42.622200;129.477958;214.026000;85.131000;140.398195;237.760000;122.104400;141.399723;274.712000;138.221800;131.918922;317.340000;128.038200;112.498894;335.318000;86.261400;98.322012;
23;1.498825;311.682000;47.879000;105.815189;274.760000;31.681400;116.630181;231.672000;41.989600;129.256113;214.014000;84.663600;140.432048;237.786000;121.676600;141.538016;274.774000;137.912200;132.037813;317.550000;127.777200;112.414058;335.384000;85.852600;98.163566;
24;1.397759;311.382000;48.570000;106.354902;274.270000;31.971200;116.965669;230.880000;42.567800;129.531068;213.540000;85.551600;140.512268;237.104000;122.709600;141.446687;274.266000;139.351600;131.820298;317.348000;128.940800;112.284642;334.880000;86.719000;98.785194;
25;1.925230;303.174000;44.895400;110.071880;265.296000;28.086000;117.375026;221.874000;39.784200;127.762380;204.606000;82.774400;138.650803;227.326000;120.639800;141.705714;265.282000;137.566400;134.800483;308.450000;126.114600;119.037633;326.028000;83.914800;106.687077;
