FRAME;ANGLE;CENTER X;CENTER Y;WIDTH;HEIGHT;
1;129.988;273.874;76.2133;43.2298;49.0088;
2;125.407;273.902;77.1721;42.9982;48.3956;
3;130.803;273.573;76.4392;43.657;49.2586;
4;117.428;273.967;77.7194;42.6603;48.8565;
5;118.241;273.483;77.9254;41.4048;48.3449;
6;119.731;273.326;78.8303;40.939;48.7768;
7;121.492;273.796;79.0109;41.4233;48.8703;
8;123.413;274.514;79.9283;41.6228;48.4974;
9;124.485;275.019;79.8622;41.0816;47.9624;
10;129.608;275.337;80.5145;40.8854;48.3729;
11;127.243;275.656;80.2447;40.769;48.2001;
12;131.033;276.039;81.4949;40.872;48.513;
13;128.626;276.263;80.897;40.9103;48.1373;
14;129.364;276.545;81.8818;40.9876;48.719;
15;127.663;276.684;81.0869;40.265;48.0296;
16;130.08;276.738;82.3168;40.5269;48.3633;
17;128.583;276.562;81.8513;40.2496;47.8224;
18;129.21;276.62;82.9835;39.8725;47.7398;
19;128.898;276.308;82.4916;39.1559;47.5448;
20;130.714;276.639;83.7006;39.3472;47.2817;
21;130.464;276.643;83.4468;39.1069;47.2346;
22;131.555;277.043;84.2142;39.0256;47.0637;
23;132.121;277.01;83.5588;38.7244;47.0455;
24;132.438;276.765;84.4815;39.2173;46.5954;
25;122.371;268.652;82.7265;40.9747;45.7264;
26;116.14;258.627;83.2481;41.5479;48.3739;
27;120.302;252.618;86.3505;34.6518;43.5255;
28;-1;-1;-1;-1;-1;
29;-1;-1;-1;-1;-1;
30;-1;-1;-1;-1;-1;
31;132.942;261.666;87.1054;33.593;41.2145;
32;133.351;262.589;80.8237;43.9964;51.9637;
33;123.843;265.498;82.5097;42.3103;48.0753;
34;127.574;266.037;83.0227;42.146;47.7284;
35;130.491;266.718;82.462;41.8652;47.3276;
36;133.692;267.069;83.3067;42.0527;47.4969;
37;130.79;267.399;82.7607;41.634;47.521;
38;132.346;267.766;83.5777;41.9293;47.3705;
39;131.902;268.276;83.1432;41.6925;47.6744;
40;133.55;268.325;83.6321;41.7916;47.768;
41;128.205;268.78;83.0929;41.8342;47.6587;
42;127.711;268.855;83.2904;41.8225;47.8383;
43;125.723;269.09;82.6153;41.9115;48.1903;
44;126.312;269.029;83.1088;41.9395;48.4639;
45;122.539;269.23;82.0244;41.7932;47.9732;
46;122.633;269.656;82.692;41.641;47.7724;
47;122.329;270.134;82.529;42.0149;48.2873;
48;123.862;269.749;83.0969;41.0245;48.7929;
49;121.636;268.688;82.2426;41.1009;49.3191;
50;124.415;270.758;83.3094;41.0968;48.2762;
51;124.415;270.758;83.3094;41.0968;48.2762;
52;124.415;270.758;83.3094;41.0968;48.2762;
53;128.533;271.275;82.7109;40.7718;48.2341;
54;130.473;271.957;84.2648;41.5019;47.5987;
55;128.811;272.59;84.1564;40.6154;47.4537;
56;126.2;275.408;86.5306;39.7765;46.5051;
57;129.929;275.37;86.3403;39.8265;46.1935;
58;126.995;276.021;86.6925;39.2248;45.3015;
59;131.352;275.752;86.1604;39.7452;46.11;
60;126.74;276.287;86.4848;38.6935;45.7716;
61;130.795;275.783;86.2939;39.4745;45.9809;
62;129.422;275.811;87.0671;38.9586;45.3331;
63;128.079;275.303;85.8455;38.9358;45.3841;
64;129.14;275.361;87.1361;39.291;45.4025;
65;130.931;275.134;87.1618;39.608;45.4524;
66;126.55;275.31;87.7693;39.0292;45.5509;
67;127.4;275.066;87.6323;39.4723;45.5236;
68;125.835;274.741;88.1187;39.4607;45.7752;
69;122.056;274.906;87.8467;38.9002;45.7779;
70;122.561;274.677;88.6091;39.6427;45.9248;
71;122.017;274.302;87.9874;39.4131;46.7569;
72;119.612;274.452;88.5464;39.611;47.1846;
73;123.329;274.001;88.314;39.8565;46.4243;
74;120.551;273.865;88.5124;39.7639;46.8311;
75;123.779;274.147;88.1185;40.019;47.0366;
76;121.816;273.99;88.6891;40.1052;47.1551;
77;122.842;274.071;88.1287;39.5922;47.1507;
78;122.515;274.213;88.8521;39.8751;47.3075;
79;125.287;274.195;88.5727;40.3059;47.2321;
80;122.788;274.28;88.7844;39.9608;47.4464;
81;125.726;274.06;88.0932;40.1382;47.161;
82;126.127;274.36;88.6572;40.25;47.15;
83;130.078;274.414;87.7018;40.6389;47.3227;
84;130.986;274.352;88.3619;40.962;47.3665;
85;131.563;274.634;87.2733;40.563;47.1252;
86;130.848;274.894;87.3459;39.9737;47.3268;
87;130.993;275.03;86.3549;39.8878;47.0226;
88;132.9;275.346;87.0947;39.7594;47.6981;
89;133.437;275.451;85.9876;39.8623;47.8001;
90;132.342;275.748;86.6645;39.2256;47.896;
91;133.589;275.932;86.0061;39.8314;47.669;
92;132.507;276.299;86.5683;39.7077;47.8288;
93;135.391;276.009;86.0641;40.4601;47.8492;
94;135.089;275.911;86.8059;40.5904;48.3337;
95;137.929;276;86.309;40.7835;48.1526;
96;135.281;275.912;86.8185;40.5147;48.2137;
97;134.616;276.032;86.0494;40.6159;47.691;
98;135.573;275.783;86.7911;40.9318;47.9283;
99;134.676;275.877;86.1828;40.7616;48.1113;
100;134.448;277.119;87.1005;41.0341;47.4394;
101;134.448;277.119;87.1005;41.0341;47.4394;
102;134.448;277.119;87.1005;41.0341;47.4394;
103;134.448;277.119;87.1005;41.0341;47.4394;
104;134.448;277.119;87.1005;41.0341;47.4394;
105;138.484;277.305;86.7027;41.3273;47.8817;
106;140.497;277.607;87.6653;41.4686;47.9706;
107;142.494;277.656;86.7304;41.668;48.3229;
108;143.965;278.046;87.7555;41.7229;48.3078;
109;146.953;278.278;87.158;42.2954;48.6653;
110;146.768;278.47;87.8128;42.2583;48.3928;
111;148.449;278.596;87.2814;42.3456;48.6329;
112;147.314;278.668;87.9843;42.063;48.4609;
113;149.56;278.73;87.6872;42.2684;48.5554;
114;149.211;278.911;88.3622;42.5005;48.2856;
115;149.773;279.015;87.9033;42.2462;48.5992;
116;148.051;279.193;88.7285;42.0951;48.3083;
117;150.276;279.273;88.1403;42.3119;48.3542;
118;148.048;279.419;88.9135;41.7722;48.0808;
119;148.048;279.419;88.9135;41.7722;48.0808;
120;148.048;279.419;88.9135;41.7722;48.0808;
121;149.766;279.42;88.4031;41.7453;47.7181;
122;149.208;279.258;88.8659;41.5694;47.5007;
123;149.688;279.251;88.405;41.4212;47.2341;
124;148.06;279.214;88.7772;41.2101;47.1651;
125;148.765;279.226;88.2791;41.1793;46.9068;
126;147.51;279.24;88.7988;41.0029;46.899;
127;148.048;279.118;88.3173;40.9447;46.8099;
128;146.478;279.06;88.6609;40.747;46.6042;
129;146.83;278.999;88.1839;40.5682;46.4694;
130;147.32;278.71;88.0338;40.2389;45.8926;
131;146.27;281.155;87.0191;39.4687;46.721;
132;146.072;288.99;86.3697;36.6207;46.4209;
133;149.398;299.637;85.0054;33.579;47.0427;
134;155.772;308.918;85.839;30.6133;47.0934;
135;159.992;313.999;86.4203;29.7166;45.8756;
136;159.108;313.44;86.7833;30.8103;45.6776;
137;159.569;313.16;86.4306;30.6125;46.003;
138;159.312;312.804;86.7479;30.7949;45.7283;
139;160.201;312.541;86.1293;30.6346;45.5035;
140;159.024;310.949;85.9412;31.716;46.0878;
141;159.024;310.949;85.9412;31.716;46.0878;
142;159.024;310.949;85.9412;31.716;46.0878;
143;159.002;312.662;85.6345;30.8402;46.3741;
144;160.63;313.83;86.4344;30.2433;45.535;
145;160.2;313.307;85.6948;31.1095;45.4489;
146;160.756;312.599;86.2913;31.7501;45.7824;
147;161.007;312.091;85.6152;31.7297;46.0773;
148;160.416;311.309;86.8005;32.4968;46.3705;
149;161.091;310.638;86.4605;32.991;46.7663;
150;159.528;310.114;86.9932;33.8789;46.8829;
151;160.12;309.483;86.7952;34.288;47.1898;
152;159.764;308.661;87.3449;34.3149;47.3804;
153;159.232;307.703;86.9928;34.5987;47.6347;
154;159.597;306.819;87.7115;35.0952;48.1272;
155;158.777;305.779;87.552;35.8919;48.8608;
156;157.916;304.711;88.373;35.8299;48.2081;
157;158.301;303.636;87.8886;36.1927;47.7908;
158;156.409;303.769;88.4;36.6296;47.896;
159;158.982;302.855;86.6644;36.5847;47.911;
160;158.982;302.855;86.6644;36.5847;47.911;
161;158.982;302.855;86.6644;36.5847;47.911;
162;158.982;302.855;86.6644;36.5847;47.911;
163;153.403;301.234;87.484;36.1316;44.7258;
164;-1;-1;-1;-1;-1;
165;-1;-1;-1;-1;-1;
166;-1;-1;-1;-1;-1;
167;142.709;292.757;88.9189;32.9482;43.511;
168;141.638;293.886;88.3657;38.3508;46.703;
169;147.71;294.227;87.8775;40.3796;46.6927;
170;155.184;293.738;88.0129;39.9598;48.2297;
171;155.462;293.248;88.2449;40.2375;48.2468;
172;154.363;293.122;89.7796;40.5481;48.0193;
173;152.996;292.855;90.0261;40.425;48.344;
174;155.365;292.899;91.0856;40.5465;48.6626;
175;155.915;292.493;90.4503;40.819;48.2521;
176;155.614;291.969;91.05;41.1451;48.2645;
177;155.771;291.615;90.6187;41.4219;48.0108;
178;139.489;285.612;91.2327;40.5249;49.9131;
179;139.489;285.612;91.2327;40.5249;49.9131;
180;139.489;285.612;91.2327;40.5249;49.9131;
181;-1;-1;-1;-1;-1;
182;-1;-1;-1;-1;-1;
183;-1;-1;-1;-1;-1;
184;-1;-1;-1;-1;-1;
185;131.89;263.841;92.7368;42.9294;48.389;
186;152.202;265.353;92.0544;45.1881;47.7237;
187;151.958;265.629;92.0505;45.4847;47.2737;
188;154.343;265.432;93.273;45.1224;47.7302;
189;151.202;265.004;93.049;45.1583;47.8537;
190;152.917;265.093;93.7915;44.8315;47.702;
191;147.642;265.238;93.2483;44.4646;47.3419;
192;154.594;264.764;93.199;44.5861;48.001;
193;152.109;263.066;91.2377;43.8381;47.7589;
194;-1;-1;-1;-1;-1;
195;-1;-1;-1;-1;-1;
196;-1;-1;-1;-1;-1;
197;134.632;282.58;93.0484;35.3919;43.3089;
198;147.712;283.92;89.4442;41.0498;47.6326;
199;153.968;283.846;89.8482;41.422;46.9019;
200;154.766;283.224;91.0842;41.5739;47.1408;
201;152.932;282.83;91.3568;41.6184;47.0659;
202;156.635;282.397;92.5491;42.1042;47.2931;
203;159.612;282.231;92.3888;42.1039;47.3465;
204;160.641;281.928;93.3249;42.083;47.5164;
205;160.095;281.786;93.0247;42.2137;47.4005;
206;158.711;281.523;94.193;42.2824;47.3739;
207;157.666;281.231;94.0158;42.3641;47.3018;
208;155.884;280.903;94.6868;42.2093;47.3931;
209;157.382;280.721;94.2712;42.2878;47.1925;
210;155.991;280.334;94.9123;42.2825;47.3871;
211;155.576;279.797;94.4325;42.1834;47.1628;
212;156.082;279.733;95.4053;42.1253;47.1756;
213;154.564;279.506;95.2081;42.1433;47.0568;
214;153.116;279.501;96.163;41.9562;46.9738;
215;156.952;279.294;95.4225;41.8169;46.7396;
216;154.824;278.687;96.0587;41.6721;45.8073;
217;154.035;277.207;94.8115;41.3044;44.8806;
218;132.93;274.133;93.0642;44.3613;51.4649;
219;-1;-1;-1;-1;-1;
220;-1;-1;-1;-1;-1;
221;-1;-1;-1;-1;-1;
222;-1;-1;-1;-1;-1;
223;-1;-1;-1;-1;-1;
224;-1;-1;-1;-1;-1;
225;141.685;272.952;91.9275;43.596;50.5205;
226;150.025;274.894;94.4649;41.3347;44.2588;
227;156.377;275.15;94.6054;41.4939;45.6551;
228;154.2;275.211;95.9111;41.3084;45.9003;
229;155.709;275.655;96.1891;41.1927;45.7775;
230;150.482;275.76;97.5052;40.9962;45.0599;
231;150.961;275.894;97.4105;40.8731;45.0959;
232;151.73;276.041;97.9541;40.9612;44.8343;
233;153.071;275.664;96.5996;41.1757;45.4898;
234;156.021;274.647;96.1579;40.9131;44.5614;
235;-1;-1;-1;-1;-1;
236;-1;-1;-1;-1;-1;
237;-1;-1;-1;-1;-1;
238;-1;-1;-1;-1;-1;
239;-1;-1;-1;-1;-1;
240;138.271;271.088;103.752;31.0073;37.5985;
241;145.614;272.66;92.9718;44.5307;49.3534;
242;149.936;273.091;95.4748;43.5566;47.1892;
243;152.627;273.009;96.6748;43.4614;47.0745;
