FRAME;ANGLE;CENTER X;CENTER Y;WIDTH;HEIGHT;
1;121.526;271.034;78.4291;43.2298;51.6622;
2;118.185;271.402;79.6144;42.9982;52.4696;
3;121.434;271.192;78.7817;43.657;51.6152;
4;117.62;271.454;80.5122;42.6603;51.2047;
5;113.002;271.587;80.9473;41.4048;49.724;
6;117.801;270.626;81.0167;41.7794;48.7768;
7;117.782;270.849;81.0879;41.4233;48.8756;
8;116.834;271.458;81.4069;41.6228;49.4458;
9;115.984;272.02;81.7547;41.0816;49.6042;
10;115.232;272.133;81.9492;40.8854;49.536;
11;115.832;272.346;81.75;40.769;48.499;
12;117.966;272.587;82.5285;40.872;48.9611;
13;113.904;272.983;82.2451;40.9103;48.8096;
14;114.044;273.356;82.9395;40.9876;49.6972;
15;115.618;273.544;82.4393;40.265;48.4186;
16;113.784;274.02;84.0935;40.5269;49.4356;
17;115.275;273.921;83.6052;40.2496;48.8405;
18;113.053;274.129;84.9555;39.8725;49.0712;
19;114.135;273.529;84.1918;39.1559;48.023;
20;114.826;273.806;84.885;39.3472;48.3681;
21;113.647;274.178;84.9056;39.1069;48.0038;
22;113.526;274.656;85.2271;39.0256;47.6322;
23;114.134;274.68;84.7855;38.7244;47.3467;
24;115.526;274.189;85.6498;39.2173;47.6691;
25;115.813;265.282;82.8257;40.9747;48.4205;
26;108.568;255.915;82.3274;41.5479;52.5321;
27;103.92;244.828;88.5076;36.5237;43.5255;
28;-1;-1;-1;-1;-1;
29;-1;-1;-1;-1;-1;
30;-1;-1;-1;-1;-1;
31;109.731;254.488;88.0974;33.593;44.2078;
32;112.686;259.467;84.9572;43.9964;54.0123;
33;117.099;261.947;83.9338;42.3323;48.0753;
34;119.081;263.293;84.2705;42.146;49.1537;
35;119.535;264.22;82.9398;41.8652;49.385;
36;120.978;264.567;83.158;42.0527;49.908;
37;120.877;265.051;82.6591;41.634;49.9462;
38;121.145;265.102;82.976;41.9293;49.9853;
39;120.008;265.643;82.3552;41.6925;49.8881;
40;120.581;265.916;82.5274;41.7916;49.0433;
41;118.585;266.398;82.4924;41.8342;49.8129;
42;120.444;266.56;82.7591;41.8225;49.3103;
43;120.841;266.609;82.5453;41.9115;49.5774;
44;119.649;266.876;83.2218;41.9395;49.5146;
45;116.55;266.565;82.4064;41.7932;49.4931;
46;113.564;266.582;82.8542;41.641;50.1154;
47;111.83;267.402;83.4918;42.0149;50.4501;
48;111.883;267.749;83.7696;41.0245;50.425;
49;111.872;267.346;83.7125;41.1009;51.5437;
50;111.318;269.11;84.8081;41.0968;51.3724;
51;111.318;269.11;84.8081;41.0968;51.3724;
52;111.318;269.11;84.8081;41.0968;51.3724;
53;112.236;269.227;84.128;40.7718;50.9528;
54;112.175;269.925;84.9756;41.5019;51.6042;
55;110.316;270.574;84.9653;40.6154;50.867;
56;112.354;273.616;87.2503;39.7765;48.5647;
57;112.429;273.425;86.514;39.8265;48.8059;
58;111.887;273.721;87.3159;39.2248;48.7165;
59;112.07;273.778;86.3457;39.7452;49.008;
60;111.888;273.689;87.1602;38.6935;48.1452;
61;112.556;273.822;86.9213;39.4745;48.9983;
62;111.677;273.456;87.5973;38.9586;47.938;
63;110.637;273.19;86.4346;38.9358;48.6319;
64;112.876;273.245;87.318;39.291;48.5043;
65;113.376;273.31;87.5303;39.608;48.4587;
66;112.824;272.985;88.3633;39.0292;48.4124;
67;112.563;273.052;88.0793;39.4723;48.6556;
68;112.482;273.056;88.4855;39.4607;48.7457;
69;111.749;272.992;88.2826;38.9002;48.3164;
70;112.657;272.951;88.9907;39.6427;49;
71;113.474;272.397;88.173;39.4131;49.0678;
72;113.305;272.429;89.1082;39.611;49.7294;
73;113.926;272.038;88.0083;39.8565;49.8812;
74;112.755;272.008;88.9072;39.7639;50.3129;
75;112.703;271.908;88.1895;40.019;50.3155;
76;112.938;271.857;89.1055;40.1052;50.9688;
77;111.975;271.765;88.1599;39.5922;50.1456;
