FRAME;AVG INACCURACY;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;
1;0.784120;289.144000;60.981600;273.898000;53.476000;256.622000;58.918600;250.652000;76.171400;258.602000;91.481200;273.892000;98.933000;291.170000;93.470200;297.174000;76.788800;
2;0.940307;289.132000;61.976400;273.926000;54.828200;256.900000;60.128200;250.692000;77.134600;258.670000;92.401200;273.920000;99.501400;290.940000;94.183200;297.186000;77.742800;
3;0.980226;288.994000;61.051600;273.596000;53.485800;256.224000;59.045800;250.224000;76.401400;258.154000;91.858000;273.592000;99.378600;290.962000;93.799800;296.998000;77.068600;
4;1.287574;289.214000;62.505400;273.998000;55.810800;256.964000;60.676600;250.300000;77.682200;258.720000;92.967200;273.992000;99.617200;291.002000;94.731400;297.716000;78.369600;
5;1.377862;288.262000;63.189400;273.520000;56.515200;256.704000;61.105600;250.184000;77.891000;258.724000;92.701200;273.514000;99.328800;290.298000;94.718400;296.870000;78.608600;
6;1.225136;287.940000;64.264600;273.360000;57.527400;256.378000;61.843600;250.062000;78.797400;258.740000;93.435400;273.354000;100.129800;290.310000;95.793200;296.672000;79.383000;
7;1.343901;288.516000;64.331400;273.830000;57.375400;256.774000;61.946800;250.498000;78.980600;259.098000;93.729200;273.828000;100.638800;290.858000;96.050600;297.176000;79.592400;
8;1.338635;289.276000;65.200400;274.538000;58.168000;257.548000;62.926200;251.430000;79.897000;259.760000;94.694800;274.536000;101.675200;291.508000;96.909400;297.684000;80.497400;
9;1.385238;289.576000;65.341200;275.038000;58.318200;258.222000;63.029200;252.268000;79.830800;260.472000;94.423000;275.040000;101.392200;291.844000;96.674400;297.860000;80.465200;
10;1.339212;289.770000;66.124400;275.358000;58.691200;258.334000;63.474200;252.834000;80.483000;260.922000;94.949200;275.358000;102.325400;292.370000;97.533600;297.936000;81.092600;
11;1.429675;290.076000;65.859800;275.674000;58.643200;258.732000;63.287400;253.088000;80.216000;261.246000;94.669600;275.676000;101.831200;292.608000;97.183800;298.318000;80.809600;
12;1.430938;290.468000;67.106200;276.054000;59.579800;258.964000;64.382400;253.616000;81.464000;261.626000;95.931600;276.058000;103.392200;293.146000;98.588200;298.568000;82.144000;
13;1.480620;290.716000;66.479200;276.276000;59.165200;259.346000;63.943600;253.760000;80.868200;261.820000;95.357400;276.282000;102.609000;293.210000;97.834800;298.864000;81.509600;
14;1.427239;291.020000;67.442800;276.556000;59.993400;259.416000;64.717400;253.928000;81.850400;262.080000;96.365600;276.564000;103.749600;293.704000;99.030200;299.266000;82.494600;
15;1.466331;290.926000;66.884000;276.696000;59.673400;259.810000;64.187600;254.318000;81.057200;262.454000;95.335200;276.702000;102.484600;293.576000;97.973400;299.152000;81.649200;
16;1.387168;291.072000;68.020000;276.744000;60.635600;259.698000;65.253000;254.412000;82.286800;262.414000;96.657400;276.752000;103.978400;293.798000;99.371200;299.166000;82.894000;
17;1.438100;290.814000;67.643400;276.572000;60.442800;259.730000;64.993800;254.338000;81.818800;262.326000;96.106000;276.582000;103.242200;293.416000;98.698600;298.886000;82.441000;
18;1.273353;290.744000;68.899200;276.630000;61.702200;259.802000;66.137400;254.574000;82.950200;262.512000;97.113800;276.636000;104.248000;293.462000;99.816800;298.772000;83.576800;
19;1.375534;290.168000;68.668200;276.316000;61.503000;259.578000;65.734600;254.460000;82.460400;262.464000;96.357400;276.322000;103.463600;293.060000;99.239600;298.262000;83.068000;
20;1.263007;290.572000;69.803400;276.646000;62.587400;259.964000;66.994200;254.952000;83.668800;262.724000;97.639000;276.652000;104.799600;293.338000;100.394400;298.428000;84.290200;
21;1.195285;290.488000;69.641800;276.652000;62.434000;259.994000;66.764800;255.010000;83.412400;262.816000;97.295800;276.658000;104.444600;293.318000;100.114400;298.380000;84.016600;
22;1.178360;290.850000;70.445800;277.046000;63.180400;260.444000;67.586000;255.544000;84.179800;263.254000;98.026000;277.054000;105.232800;293.664000;100.829600;298.648000;84.809000;
23;1.165300;290.710000;69.893400;277.018000;62.598800;260.414000;66.931000;255.648000;83.526600;263.326000;97.263200;277.024000;104.502800;293.634000;100.174600;298.478000;84.142600;
24;1.115330;290.644000;70.639200;276.772000;63.415800;260.314000;68.003200;255.384000;84.446800;262.900000;98.366200;276.774000;105.533800;293.236000;100.943200;298.240000;85.015200;
25;1.936200;283.228000;68.182800;268.652000;61.644000;252.586000;66.625400;246.574000;82.690800;254.084000;97.309200;268.662000;103.794800;284.732000;98.812200;290.794000;83.279800;
26;2.146225;273.624000;68.290200;258.660000;62.045200;241.784000;66.363200;235.338000;83.223400;243.666000;98.240400;258.652000;104.453000;275.516000;100.105400;281.992000;83.965000;
27;4.819748;265.140000;73.942400;252.646000;68.225800;237.522000;71.186400;232.322000;86.303200;240.188000;98.797000;252.682000;104.475600;267.828000;101.497800;272.980000;87.047400;
28;-1;98.762800;66.706900;90.232800;63.497000;81.782800;66.816400;78.539700;75.278100;81.664800;83.836200;90.245500;87.069800;98.591300;83.734200;101.820000;75.916300;
29;-1;103.301000;69.273100;96.786100;66.982600;89.940000;68.893400;87.029800;75.719100;90.246600;82.255500;96.776900;84.508600;103.630000;82.550300;106.566000;76.263000;
30;-1;121.452000;62.661200;115.959000;60.792900;109.973000;62.216900;107.438000;68.238400;110.370000;73.782000;115.930000;75.573300;121.860000;74.201500;124.381000;68.773200;
31;3.615679;273.492000;75.306000;261.724000;68.729400;247.214000;72.586800;242.994000;87.086600;249.878000;98.905000;261.714000;105.484400;276.212000;101.598800;280.444000;87.992000;
32;2.487829;278.260000;65.182400;262.638000;57.328200;244.170000;62.354400;238.850000;80.796200;246.952000;96.495600;262.630000;104.316600;281.074000;99.274200;286.426000;81.678600;
33;1.503559;280.602000;67.427400;265.512000;60.677200;248.540000;65.523400;242.578000;82.477000;250.410000;97.625400;265.510000;104.335200;282.478000;99.480800;288.490000;83.145000;
34;1.274676;281.014000;68.069200;266.046000;61.081200;249.186000;66.137400;243.386000;82.987200;251.078000;98.007800;266.046000;104.954200;282.918000;99.891400;288.752000;83.632400;
35;1.102973;281.562000;67.634200;266.724000;60.529600;249.998000;65.703600;244.362000;82.427000;251.886000;97.316600;266.726000;104.380200;283.476000;99.201600;289.130000;83.038800;
36;1.251192;281.956000;68.431000;267.072000;61.119600;250.286000;66.483600;244.764000;83.271800;252.188000;98.209600;267.074000;105.475200;283.888000;100.112800;289.436000;83.914000;
37;1.103344;282.152000;68.022800;267.402000;60.847000;250.618000;65.939400;245.064000;82.725600;252.654000;97.527800;267.406000;104.654200;284.220000;99.565400;289.800000;83.351400;
38;1.156705;282.614000;68.741200;267.768000;61.518800;251.028000;66.800800;245.466000;83.543000;252.922000;98.444200;267.772000;105.615800;284.540000;100.337600;290.134000;84.202800;
39;1.084683;283.040000;68.391000;268.280000;61.124000;251.436000;66.264000;245.946000;83.108200;253.516000;97.927200;268.284000;105.139400;285.156000;100.005200;290.676000;83.728800;
40;1.198155;283.120000;68.850400;268.328000;61.479800;251.448000;66.712600;246.030000;83.597200;253.536000;98.445600;268.332000;105.763600;285.240000;100.533200;290.690000;84.236000;
41;1.049647;283.620000;68.267400;268.784000;61.216000;251.968000;66.241600;246.232000;83.058000;253.946000;97.949600;268.788000;104.949000;285.630000;99.927800;291.398000;83.714000;
42;1.159658;283.698000;68.466000;268.860000;61.417000;251.986000;66.379200;246.240000;83.254800;254.020000;98.149200;268.864000;105.144600;285.762000;100.181200;291.546000;83.903000;
43;1.107127;283.984000;67.741200;269.102000;60.757600;252.126000;65.609200;246.250000;82.580800;254.206000;97.525000;269.104000;104.455400;286.094000;99.599600;292.006000;83.216000;
44;1.287344;283.924000;68.250400;269.042000;61.159200;251.972000;66.012600;246.122000;83.070200;254.158000;98.013800;269.042000;105.044600;286.120000;100.183200;292.014000;83.680600;
45;1.397704;284.100000;67.191000;269.238000;60.347800;252.416000;65.173800;246.274000;81.987600;254.380000;96.904200;269.242000;103.684000;286.070000;98.860000;292.258000;82.569400;
46;1.724789;284.454000;67.939600;269.662000;61.066000;252.924000;65.927000;246.774000;82.656600;254.880000;97.498400;269.668000;104.301400;286.404000;99.443600;292.614000;83.227600;
47;1.676664;285.072000;67.633800;270.144000;60.718200;253.228000;65.588200;247.006000;82.493800;255.216000;97.473600;270.150000;104.324800;287.058000;99.456200;293.342000;83.120800;
