FRAME;AVG INACCURACY;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;
1;0.784120;289.144000;60.981600;123.893233;273.898000;53.476000;127.153769;256.622000;58.918600;133.372833;250.652000;76.171400;138.635780;258.602000;91.481200;139.363283;273.892000;98.933000;135.998358;291.170000;93.470200;129.281103;297.174000;76.788800;124.176026;
2;0.940307;289.132000;61.976400;124.222016;273.926000;54.828200;127.650435;256.900000;60.128200;133.705754;250.692000;77.134600;138.805214;258.670000;92.401200;139.415716;273.920000;99.501400;136.000675;290.940000;94.183200;129.428749;297.186000;77.742800;124.358151;
3;0.980226;288.994000;61.051600;123.416036;273.596000;53.485800;126.751352;256.224000;59.045800;133.038270;250.224000;76.401400;138.293694;258.154000;91.858000;138.997008;273.592000;99.378600;135.562559;290.962000;93.799800;128.798057;296.998000;77.068600;123.711061;
4;1.287574;289.214000;62.505400;123.792330;273.998000;55.810800;127.502125;256.964000;60.676600;133.474250;250.300000;77.682200;138.608739;258.720000;92.967200;139.074444;273.992000;99.617200;135.543423;291.002000;94.731400;128.898485;297.716000;78.369600;123.609461;
5;1.377862;288.262000;63.189400;124.314071;273.520000;56.515200;127.759909;256.704000;61.105600;133.489609;250.184000;77.891000;138.503458;258.724000;92.701200;138.921096;273.514000;99.328800;135.571003;290.298000;94.718400;129.118554;296.870000;78.608600;123.995830;
6;1.225136;287.940000;64.264600;124.982380;273.360000;57.527400;128.318879;256.378000;61.843600;133.889802;250.062000;78.797400;138.792795;258.740000;93.435400;139.115357;273.354000;100.129800;135.821539;290.310000;95.793200;129.396362;296.672000;79.383000;124.472551;
7;1.343901;288.516000;64.331400;124.909272;273.830000;57.375400;128.242257;256.774000;61.946800;133.929994;250.498000;78.980600;138.824833;259.098000;93.729200;139.135872;273.828000;100.638800;135.787599;290.858000;96.050600;129.313279;297.176000;79.592400;124.428836;
8;1.338635;289.276000;65.200400;125.012619;274.538000;58.168000;128.449621;257.548000;62.926200;134.221196;251.430000;79.897000;138.993482;259.760000;94.694800;139.219575;274.536000;101.675200;135.755670;291.508000;96.909400;129.255955;297.684000;80.497400;124.528083;
9;1.385238;289.576000;65.341200;124.865633;275.038000;58.318200;128.268023;258.222000;63.029200;134.025550;252.268000;79.830800;138.745778;260.472000;94.423000;138.942156;275.040000;101.392200;135.489828;291.844000;96.674400;129.013556;297.860000;80.465200;124.376477;
10;1.339212;289.770000;66.124400;125.033220;275.358000;58.691200;128.301988;258.334000;63.474200;134.132376;252.834000;80.483000;138.770319;260.922000;94.949200;138.892858;275.358000;102.325400;135.418739;292.370000;97.533600;128.846788;297.936000;81.092600;124.484858;
11;1.429675;290.076000;65.859800;124.882437;275.674000;58.643200;128.229856;258.732000;63.287400;134.040028;253.088000;80.216000;138.731934;261.246000;94.669600;138.865359;275.676000;101.831200;135.386622;292.608000;97.183800;128.805026;298.318000;80.809600;124.316680;
12;1.430938;290.468000;67.106200;125.136169;276.054000;59.579800;128.480360;258.964000;64.382400;134.361732;253.616000;81.464000;138.905877;261.626000;95.931600;138.921114;276.058000;103.392200;135.345134;293.146000;98.588200;128.697651;298.568000;82.144000;124.498311;
13;1.480620;290.716000;66.479200;124.871186;276.276000;59.165200;128.284697;259.346000;63.943600;134.170332;253.760000;80.868200;138.796997;261.820000;95.357400;138.861299;276.282000;102.609000;135.294363;293.210000;97.834800;128.670857;298.864000;81.509600;124.270184;
14;1.427239;291.020000;67.442800;125.106345;276.556000;59.993400;128.566891;259.416000;64.717400;134.476002;253.928000;81.850400;139.023418;262.080000;96.365600;138.960447;276.564000;103.749600;135.305239;293.704000;99.030200;128.585108;299.266000;82.494600;124.324993;
15;1.466331;290.926000;66.884000;125.106105;276.696000;59.673400;128.523460;259.810000;64.187600;134.360360;254.318000;81.057200;138.962419;262.454000;95.335200;138.956869;276.702000;102.484600;135.394941;293.576000;97.973400;128.740486;299.152000;81.649200;124.368703;
16;1.387168;291.072000;68.020000;125.411119;276.744000;60.635600;128.873408;259.698000;65.253000;134.732834;254.412000;82.286800;139.192921;262.414000;96.657400;139.095305;276.752000;103.978400;135.444034;293.798000;99.371200;128.750854;299.166000;82.894000;124.627065;
17;1.438100;290.814000;67.643400;125.530579;276.572000;60.442800;128.973851;259.730000;64.993800;134.767158;254.338000;81.818800;139.256361;262.326000;96.106000;139.214631;276.582000;103.242200;135.629935;293.416000;98.698600;129.031215;298.886000;82.441000;124.813090;
18;1.273353;290.744000;68.899200;125.983374;276.630000;61.702200;129.433571;259.802000;66.137400;135.147044;254.574000;82.950200;139.477641;262.512000;97.113800;139.321283;276.636000;104.248000;135.710518;293.462000;99.816800;129.141099;298.772000;83.576800;125.140011;
19;1.375534;290.168000;68.668200;126.231785;276.316000;61.503000;129.524522;259.578000;65.734600;135.136335;254.460000;82.460400;139.487838;262.464000;96.357400;139.366543;276.322000;103.463600;135.885110;293.060000;99.239600;129.376865;298.262000;83.068000;125.381839;
20;1.263007;290.572000;69.803400;126.426899;276.646000;62.587400;129.834248;259.964000;66.994200;135.488761;254.952000;83.668800;139.682452;262.724000;97.639000;139.467664;276.652000;104.799600;135.867629;293.338000;100.394400;129.366499;298.428000;84.290200;125.562253;
21;1.195285;290.488000;69.641800;126.453437;276.652000;62.434000;129.824235;259.994000;66.764800;135.476516;255.010000;83.412400;139.701959;262.816000;97.295800;139.498086;276.658000;104.444600;135.925917;293.318000;100.114400;129.411176;298.380000;84.016600;125.576599;
22;1.178360;290.850000;70.445800;126.517598;277.046000;63.180400;129.951373;260.444000;67.586000;135.648143;255.544000;84.179800;139.777524;263.254000;98.026000;139.486032;277.054000;105.232800;135.833615;293.664000;100.829600;129.294034;298.648000;84.809000;125.572906;
23;1.165300;290.710000;69.893400;126.464013;277.018000;62.598800;129.818114;260.414000;66.931000;135.533480;255.648000;83.526600;139.729789;263.326000;97.263200;139.496087;277.024000;104.502800;135.898624;293.634000;100.174600;129.325559;298.478000;84.142600;125.585317;
24;1.115330;290.644000;70.639200;126.672207;276.772000;63.415800;130.144485;260.314000;68.003200;135.836728;255.384000;84.446800;139.906364;262.900000;98.366200;139.636841;276.774000;105.533800;135.966087;293.236000;100.943200;129.517530;298.240000;85.015200;125.821013;
25;1.936200;283.228000;68.182800;129.160769;268.652000;61.644000;132.069148;252.586000;66.625400;136.824442;246.574000;82.690800;140.816661;254.084000;97.309200;141.221653;268.662000;103.794800;138.354713;284.732000;98.812200;133.104061;290.794000;83.279800;129.162166;
26;2.146225;273.624000;68.290200;132.569215;258.660000;62.045200;134.537501;241.784000;66.363200;137.922499;235.338000;83.223400;141.584071;243.666000;98.240400;142.482917;258.652000;104.453000;140.610326;275.516000;100.105400;136.416494;281.992000;83.965000;132.899251;
27;4.819748;265.140000;73.942400;136.249236;252.646000;68.225800;137.306808;237.522000;71.186400;139.370248;232.322000;86.303200;142.054787;240.188000;98.797000;142.774418;252.682000;104.475600;141.623157;267.828000;101.497800;138.647645;272.980000;87.047400;136.320725;
28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
29;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
31;3.615679;273.492000;75.306000;134.325312;261.724000;68.729400;135.862452;247.214000;72.586800;139.076442;242.994000;87.086600;141.846226;249.878000;98.905000;142.012540;261.714000;105.484400;140.107751;276.212000;101.598800;136.310327;280.444000;87.992000;134.050057;
32;2.487829;278.260000;65.182400;130.251424;262.638000;57.328200;132.254201;244.170000;62.354400;136.722287;238.850000;80.796200;141.236239;246.952000;96.495600;142.241606;262.630000;104.316600;139.923190;281.074000;99.274200;134.606375;286.426000;81.678600;130.881100;
33;1.503559;280.602000;67.427400;130.027469;265.512000;60.677200;132.671600;248.540000;65.523400;137.177240;242.578000;82.477000;141.266458;250.410000;97.625400;141.886520;265.510000;104.335200;139.260857;282.478000;99.480800;134.082941;288.490000;83.145000;130.229653;
34;1.274676;281.014000;68.069200;130.016053;266.046000;61.081200;132.639054;249.186000;66.137400;137.243589;243.386000;82.987200;141.255860;251.078000;98.007800;141.786408;266.046000;104.954200;139.092060;282.918000;99.891400;133.890551;288.752000;83.632400;130.152889;
35;1.102973;281.562000;67.634200;129.682605;266.724000;60.529600;132.285045;249.998000;65.703600;137.022772;244.362000;82.427000;141.092225;251.886000;97.316600;141.643078;266.726000;104.380200;138.919421;283.476000;99.201600;133.644530;289.130000;83.038800;129.884084;
36;1.251192;281.956000;68.431000;129.743666;267.072000;61.119600;132.378942;250.286000;66.483600;137.192524;244.764000;83.271800;141.175720;252.188000;98.209600;141.631582;267.074000;105.475200;138.814768;283.888000;100.112800;133.505676;289.436000;83.914000;129.877643;
37;1.103344;282.152000;68.022800;129.552183;267.402000;60.847000;132.199975;250.618000;65.939400;136.995736;245.064000;82.725600;141.060815;252.654000;97.527800;141.527225;267.406000;104.654200;138.728368;284.220000;99.565400;133.350102;289.800000;83.351400;129.622936;
38;1.156705;282.614000;68.741200;129.556513;267.768000;61.518800;132.304444;251.028000;66.800800;137.157441;245.466000;83.543000;141.123367;252.922000;98.444200;141.504259;267.772000;105.615800;138.604840;284.540000;100.337600;133.229751;290.134000;84.202800;129.590321;
39;1.084683;283.040000;68.391000;129.261487;268.280000;61.124000;132.004370;251.436000;66.264000;136.915329;245.946000;83.108200;140.968820;253.516000;97.927200;141.348882;268.284000;105.139400;138.432294;285.156000;100.005200;132.936082;290.676000;83.728800;129.239692;
40;1.198155;283.120000;68.850400;129.337860;268.328000;61.479800;132.085027;251.448000;66.712600;137.007934;246.030000;83.597200;140.999753;253.536000;98.445600;141.334834;268.332000;105.763600;138.383786;285.240000;100.533200;132.895104;290.690000;84.236000;129.293852;
